Kitap Adı,Format,Kaynak / Durum,Bulunduğu Klasör,Tam Dosya Yolu,Boyut (MB)
Ekonomi 101 Bir Çırpıda Para ve Finans (Alfred Mill) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip),b-Lİbrary_Tr-Gen/Para-Finans,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip -> b-Lİbrary_Tr-Gen/Para-Finans/Ekonomi 101 Bir Çırpıda Para ve Finans (Alfred Mill) (z-lib.org).epub,6.78
Tehlikeli Oyunlar (Oğuz Atay).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip),b-Lİbrary_Tr-Gen/Roman_Tr,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip -> b-Lİbrary_Tr-Gen/Roman_Tr/Tehlikeli Oyunlar (Oğuz Atay).epub,0.38
John-Steinbeck-Fareler ve İnsanlar.epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip),b-Lİbrary_Tr-Gen/Roman_Ybn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip -> b-Lİbrary_Tr-Gen/Roman_Ybn/John-Steinbeck-Fareler ve İnsanlar.epub,0.19
John-Steinbeck-Gazap Üzümleri.epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip),b-Lİbrary_Tr-Gen/Roman_Ybn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip -> b-Lİbrary_Tr-Gen/Roman_Ybn/John-Steinbeck-Gazap Üzümleri.epub,0.52
Suç ve Ceza Hasan Ali Yücel Klasikler (Fyodor Mihayloviç Dostoyevski) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip),b-Lİbrary_Tr-Gen/Roman_Ybn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip -> b-Lİbrary_Tr-Gen/Roman_Ybn/Suç ve Ceza Hasan Ali Yücel Klasikler (Fyodor Mihayloviç Dostoyevski) (z-lib.org).epub,0.59
Albert Camus-Yabancı.epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip),b-Lİbrary_Tr-Gen/Roman_Ybn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip -> b-Lİbrary_Tr-Gen/Roman_Ybn/Albert Camus-Yabancı.epub,0.19
Simdinin-Gucu-Tolle-Eckhart.epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip),b-Lİbrary_Tr-Gen/Kişisel Gelişim/Erteleme,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-001.zip -> b-Lİbrary_Tr-Gen/Kişisel Gelişim/Erteleme/Simdinin-Gucu-Tolle-Eckhart.epub,0.22
Tutunamayanlar (Atay Oğuz) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip),b-Lİbrary_Tr-Gen/Roman_Tr,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip -> b-Lİbrary_Tr-Gen/Roman_Tr/Tutunamayanlar (Atay Oğuz) (z-lib.org).epub,0.57
Zengin Baba Yoksul Baba (Robert T. Kiyosaki) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip),b-Lİbrary_Tr-Gen/Para-Finans,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip -> b-Lİbrary_Tr-Gen/Para-Finans/Zengin Baba Yoksul Baba (Robert T. Kiyosaki) (z-lib.org).epub,61.38
Koşmasaydım Yazamazdım (Haruki Murakami) (z-lib.org) (1).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip),b-Lİbrary_Tr-Gen/Kişisel Gelişim,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip -> b-Lİbrary_Tr-Gen/Kişisel Gelişim/Koşmasaydım Yazamazdım (Haruki Murakami) (z-lib.org) (1).epub,0.23
Nefes-Ve-Teknikleri.ppt,PPT,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip),b-Lİbrary_Tr-Gen/Tıp,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-002.zip -> b-Lİbrary_Tr-Gen/Tıp/Nefes-Ve-Teknikleri.ppt,0.09
"Dikkat Vücudunuz Konuşuyor (İzgören, Ahmet Şerif) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Beden Dili,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Beden Dili/Dikkat Vücudunuz Konuşuyor (İzgören, Ahmet Şerif) (z-lib.org).epub",19.65
Iyi Hissetmek (Turkish Edition) (David Burns) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Kişisel Gelişim,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Kişisel Gelişim/Iyi Hissetmek (Turkish Edition) (David Burns) (z-lib.org).epub,10.56
Ustalık Gerektiren Kafaya Takmama Sanatı (Mark Manson) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Psikoloji,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Psikoloji/Ustalık Gerektiren Kafaya Takmama Sanatı (Mark Manson) (z-lib.org).epub,60.32
Karaciger-fitoterapi.pptx,PPTX,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Tıp,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Tıp/Karaciger-fitoterapi.pptx,2.87
Zihin Gücüyle İyileşme (Debbie Shapiro) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Tıp,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Tıp/Zihin Gücüyle İyileşme (Debbie Shapiro) (z-lib.org).epub,1.5
Charles Dickens-İki Şehrin Hikayesi.epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Roman_Ybn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Roman_Ybn/Charles Dickens-İki Şehrin Hikayesi.epub,0.47
George Orwell-1984.epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Roman_Ybn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Roman_Ybn/George Orwell-1984.epub,0.22
Savaş ve Barış-Tolstoy.epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Roman_Ybn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Roman_Ybn/Savaş ve Barış-Tolstoy.epub,1.77
Ted Gibi Konuş (Gallo Carmine) (z-lib.org) (1).epub,EPUB,ZIP Arşivi İçinde (b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip),b-Lİbrary_Tr-Gen/Kişisel Gelişim/Konuşma-Sunum-Hitap,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Lİbrary_Tr-Gen-20260601T232943Z-3-003.zip -> b-Lİbrary_Tr-Gen/Kişisel Gelişim/Konuşma-Sunum-Hitap/Ted Gibi Konuş (Gallo Carmine) (z-lib.org) (1).epub,0.72
"The citizen marketer  promoting political opinion in the social media age (Penney, Joel) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Social Media,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Social Media/The citizen marketer  promoting political opinion in the social media age (Penney, Joel) (z-lib.org).epub",0.46
"All Art Is Propaganda Critical Essays (George Orwell, Keith Gessen, George Packer) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Propaganda,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Propaganda/All Art Is Propaganda Critical Essays (George Orwell, Keith Gessen, George Packer) (z-lib.org).epub",0.41
"(OSINT) Open Source Intelligence Glossary Guide to keywords, phrases for improved Internet research results (Nicholas Crowder) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Open Source,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Open Source/(OSINT) Open Source Intelligence Glossary Guide to keywords, phrases for improved Internet research results (Nicholas Crowder) (z-lib.org).epub",0.15
"Protests in the Information Age Social Movements, Digital Practices and Surveillance (Lucas Melgaço, Jeffrey Monaghan) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Propaganda,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Propaganda/Protests in the Information Age Social Movements, Digital Practices and Surveillance (Lucas Melgaço, Jeffrey Monaghan) (z-lib.org).epub",2.44
Kevin Roberts-Taking Back Washington to Save America.docx,DOCX,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Us_Project2025,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Us_Project2025/Kevin Roberts-Taking Back Washington to Save America.docx,0.59
"Social Movements An Introduction (Donatella Della Porta, Mario Diani) (z-lib.org) (1).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Social Movement,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Social Movement/Social Movements An Introduction (Donatella Della Porta, Mario Diani) (z-lib.org) (1).epub",0.91
The Art of War (Sun Tzu) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Art of War,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Art of War/The Art of War (Sun Tzu) (z-lib.org).epub,0.12
One Hundred Unorthodox Strategies Battle And Tactics of Chinese Warfare (Ralph D. Sawyer) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Art of War,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Art of War/One Hundred Unorthodox Strategies Battle And Tactics of Chinese Warfare (Ralph D. Sawyer) (z-lib.org).epub,0.86
The Thirty-Six Stratagems A Modern Interpretation Of A Strategy Classic (Peter Taylor) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Art of War,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Art of War/The Thirty-Six Stratagems A Modern Interpretation Of A Strategy Classic (Peter Taylor) (z-lib.org).epub,0.76
"Open Source Intelligence Glossary Guide to Keywords, Phrases for Improved Internet Research Results (Crowder, Nicholas) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Open Source,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Open Source/Open Source Intelligence Glossary Guide to Keywords, Phrases for Improved Internet Research Results (Crowder, Nicholas) (z-lib.org).epub",0.18
Social Movements The Structure of Collective Mobilization (Paul Almeida) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Social Movement,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Social Movement/Social Movements The Structure of Collective Mobilization (Paul Almeida) (z-lib.org).epub,8.87
"The 36 strategies of the martial arts  the classic Chinese guide for success in war, business, and life (Moriya, Hiroshi Wilson, William Scott) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Art of War,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Art of War/The 36 strategies of the martial arts  the classic Chinese guide for success in war, business, and life (Moriya, Hiroshi Wilson, William Scott) (z-lib.org).epub",6.99
Democracy’s Fourth Wave Digital Media and the Arab Spring (Philip N. Howard Muzammil M. Hussain) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Social Media,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Social Media/Democracy’s Fourth Wave Digital Media and the Arab Spring (Philip N. Howard Muzammil M. Hussain) (z-lib.org).epub,2.81
"The Art of War Complete Texts and Commentaries (Sun Tzu, Thomas Cleary) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Art of War,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Art of War/The Art of War Complete Texts and Commentaries (Sun Tzu, Thomas Cleary) (z-lib.org).epub",0.74
"The Worlds Most Dangerous Secret Societies The Illuminati, Freemasons, Bilderberg Group, Knights Templar, The Jesuits, Skull... (James Jackson) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/The Worlds Most Dangerous Secret Societies The Illuminati, Freemasons, Bilderberg Group, Knights Templar, The Jesuits, Skull... (James Jackson) (z-lib.org).epub",0.2
"Political Turbulence How Social Media Shape Collective Action (Helen Margetts, Peter John, Scott Hale etc.) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Social Media,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Social Media/Political Turbulence How Social Media Shape Collective Action (Helen Margetts, Peter John, Scott Hale etc.) (z-lib.org).epub",5.88
The 33 Strategies of War (Robert Greene) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Art of War,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Art of War/The 33 Strategies of War (Robert Greene) (z-lib.org).epub,1.04
"Open Source Intelligence Methods and Tools A Practical Guide to Online Intelligence (Nihad A. Hassan, Rami Hijazi) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Open Source,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Open Source/Open Source Intelligence Methods and Tools A Practical Guide to Online Intelligence (Nihad A. Hassan, Rami Hijazi) (z-lib.org).epub",12.12
Nationalism on the Internet Critical Theory and Ideology in the Age of Social Media and Fake News (Christian Fuchs) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Social Media,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Social Media/Nationalism on the Internet Critical Theory and Ideology in the Age of Social Media and Fake News (Christian Fuchs) (z-lib.org).epub,1.5
"The Symbolism of Freemasonry (Albert G. Mackey, [Mackey, Albert G.]) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Symbol,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Symbol/The Symbolism of Freemasonry (Albert G. Mackey, [Mackey, Albert G.]) (z-lib.org).epub",0.31
"Ask, Measure, Learn Using Social Media Analytics to Understand and Influence Customer Behavior (Lutz Finger, Soumitra Dutta) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Social Media,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Social Media/Ask, Measure, Learn Using Social Media Analytics to Understand and Influence Customer Behavior (Lutz Finger, Soumitra Dutta) (z-lib.org).epub",14.37
"Network propaganda manipulation, disinformation, and radicalization in American politics (Yochai BENKLER, Robert FARIS, Hal ROBERTS) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Propaganda,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Propaganda/Network propaganda manipulation, disinformation, and radicalization in American politics (Yochai BENKLER, Robert FARIS, Hal ROBERTS) (z-lib.org).epub",62.29
The art of war = [Sunzi bing fa] (Sunzi Ralph D Sawyer Mei-chün Sawyer) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Art of War,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Art of War/The art of war = [Sunzi bing fa] (Sunzi Ralph D Sawyer Mei-chün Sawyer) (z-lib.org).epub,1.61
"The Symbolism of Freemasonry Illustrating and Explaining its Science and Philosophy, its Legends, Myths and Symbols (Mackey, Albert Gallatin) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Symbol,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Symbol/The Symbolism of Freemasonry Illustrating and Explaining its Science and Philosophy, its Legends, Myths and Symbols (Mackey, Albert Gallatin) (z-lib.org).epub",3.5
